Date,VNI30,ACB,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,KDH,MBB,MSN,MWG,NVL,PDR,PLX,PNJ,POW,SAB,SSI,STB,TCB,TPB,VCB,VHM,VIC,VJC,VNM,VPB,VRE
11/02/2022,1545.92,28560,47900,51676,36800,75456,108053,33066,24960,35684.3,48000,28291.7,123921,67213,78100,66104.2,56980,76634.1,18300,155105,40072.7,35300,53700,38616,90000,77439,81700,132800,77881,24400,34600
14/02/2022,1505.07,27200,44750,50832,34600,74962,112920,32433,23360,34965.3,47909,26666.7,125410,65573,78000,65664,57747,76487.8,17700,163172,38739.9,32850,51500,36047,86000,75884,81800,140000,77026.2,23333.3,33000
15/02/2022,1527.36,27600,46200,51395,34950,75044,114283,32482,23600,34813.9,48636,27250,132773,66219,79000,66030.8,56596,77145.9,18100,165212,39273.1,33500,51800,36723,87000,77730,83700,139200,77121.2,23966.7,34000
16/02/2022,1521.47,27360,45150,53833,34650,75209,111460,32871,23400,34813.9,48909,27208.3,130787,66020,78100,66177.6,56596,77730.9,18200,163657,39895,33600,51600,36408,87000,77730,82900,139200,76361.4,23766.7,34300
17/02/2022,1540.51,27440,46000,53364,34900,76444,115549,33115,23800,35192.3,49909,27666.7,134841,66815,79000,67498.2,57555,78900.9,18600,165698,39983.9,33900,52200,37084,87500,78508,83100,141600,76741.3,24200,34450
18/02/2022,1531.47,27080,44700,53739,34600,75950,113894,32725,23600,35608.6,49091,27208.3,135089,66567,78500,66911.3,57363,78242.8,18550,164629,40161.6,33350,51600,36768,87200,77439,82200,149000,76551.4,23933.3,33600
21/02/2022,1533.4,27520,45250,53646,34400,77021,112726,33699,23680,35305.8,49273,27208.3,132607,66517,78500,66911.3,57459,77877.2,18400,164824,40872.4,33200,51500,36859,87400,77730,83600,146000,76931.3,23933.3,34100
22/02/2022,1532.36,27760,46000,52802,34600,76527,113407,33358,23640,35116.6,49000,28666.7,130291,68405,78100,65884.1,59474,80436.5,17800,163657,39983.9,33700,51400,37399,86800,77050,82000,142800,75981.5,23700,34500
23/02/2022,1538.83,27680,45600,54021,34850,76609,113894,33358,23720,35343.7,49182,28625,130043,68455,77400,66030.8,59953,80144,18150,165018,40250.4,33600,51700,38391,86900,77148,82500,148200,75981.5,23933.3,34900
24/02/2022,1522.04,27560,44600,55334,33850,75785,115841,32823,23040,34813.9,48000,28333.3,131946,67958,76000,65003.7,60817,79705.3,17750,164921,39628.5,32900,50500,37174,85300,76370,80100,148000,74651.8,24600,34000
25/02/2022,1526.5,27480,44550,55334,33850,76033,114088,33115,23400,34738.2,48455,28416.7,130705,68355,76300,64196.7,59857,78827.8,17850,164824,40605.9,33000,50700,37805,85100,76079,79100,145100,74936.8,25466.7,34000
28/02/2022,1517.18,27120,43700,55428,33150,76856,114867,33261,23040,35722.1,48091,28666.7,129050,67560,75300,62362.5,59761,75317.8,17350,165018,40605.9,32850,50400,38075,84500,75301,77000,140100,74461.9,25333.3,33500
01/03/2022,1520.12,27080,44100,56084,33300,76939,114575,34771,22840,35495,49182,28333.3,129464,67560,75400,61995.6,58802,76780.3,17450,163269,40872.4,32650,50300,38571,85000,75787,79200,140900,75221.7,25166.7,33500
02/03/2022,1498.61,26320,42450,55334,32000,76692,116035,34479,21880,35495,48818,27083.3,129877,66815,76400,63976.5,58994,75610.3,17450,165720,39806.2,31250,49200,37354,85000,75301,78900,145000,74556.8,24333.3,32800
03/03/2022,1522.49,26760,42800,55334,32600,76939,117496,35355,22600,37916.9,49636,27583.3,131615,67809,78000,64563.5,60241,76049.1,17200,163857,40428.1,31850,49650,37399,85500,75787,79000,143400,74461.9,24966.7,32700
04/03/2022,1525.34,27440,43300,55990,32750,77021,114867,35063,22400,37689.8,49636,27416.7,133435,67461,77000,66397.7,58610,77657.8,17300,156895,41405.5,32000,49950,36723,84900,75690,79000,139400,73987,25400,33750
07/03/2022,1509.12,26600,42250,55240,32150,77268,121292,35793,21920,38673.7,48909,26833.3,130870,66666,76000,65664,60721,79422.8,17050,151600,41583.2,31500,49250,35146,84900,74038,78500,134200,72942.2,25133.3,32900
08/03/2022,1490.17,26080,41600,54771,32050,78092,117496,35355,21880,37425,47364,25833.3,131366,66666,76000,63903.2,58802,77952,17200,152580,41760.9,30850,49000,34966,81500,72484,77900,137000,72277.4,24666.7,32500
09/03/2022,1489.25,26160,40500,52895,32000,78669,118956,35063,21600,37727.7,46545,25625,128637,66468,76500,64563.5,60433,81261.3,16750,151992,41405.5,31100,49100,34966,83000,71901,78000,140000,71327.6,24566.7,31600
10/03/2022,1490.24,26320,40950,53833,32100,77927,115354,34625,21560,37197.9,46818,25875,124087,66319,77000,64636.9,58802,79643.4,16600,153953,41405.5,31550,49250,35146,83500,73067,79100,139000,73227.2,24500,32000
11/03/2022,1477.14,26160,41850,53458,32250,76774,109903,33602,21840,36024.8,46364,26208.3,117882,66070,77200,64343.4,55637,76848.9,16150,151011,39983.9,32050,48900,34831,83800,72872,79000,138500,74082,24266.7,31850
14/03/2022,1461.1,26160,41300,51676,31900,75621,103186,32482,21680,34662.5,45636,26375,112588,65424,76500,64196.7,53622,72436.5,15650,151011,38384.5,32500,48500,35326,84200,72387,78300,145000,73322.1,24000,32000
15/03/2022,1468.89,26240,42100,51676,31950,74962,105133,32969,21760,34927.4,45455,26333.3,116724,65275,76600,63316.2,53718,75672.3,16400,148364,38473.4,32700,48600,35957,81100,72387,78300,148000,73322.1,24600,31750
16/03/2022,1472.69,26240,41600,52708,32000,75456,106301,32823,21720,34965.3,46000,26750,116228,65275,77400,62949.4,53910,75598.7,16300,151011,38917.6,32900,49050,35822,82500,72095,78100,147000,73417.1,24533.3,31750
17/03/2022,1469.92,26240,43500,52708,32700,75785,103186,32920,22000,34776.1,46727,26875,114160,64977,76600,63389.6,53526,75745.8,16300,151011,38917.6,32800,49000,35687,83000,71901,78400,145000,72562.3,24300,32250
18/03/2022,1476.94,26240,43900,52614,32800,78339,106009,33115,22080,35192.3,46364,26750,113084,65375,77100,62362.5,53622,76113.5,16100,148560,38917.6,33100,49200,35597,84200,72484,78800,148200,72182.4,24166.7,33000
